canonical_smiles,standard_value
Cc1csc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)n1,110.0
Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)cn1,290.0
Cc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,1800.0
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2nccc3ccccc23)cc1,1700.0
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cc(Br)cs2)cc1,26.0
Cc1nc(-c2ccc(C)s2)c(-c2ccc(S(C)(=O)=O)cc2)o1,40.0
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cnc3ccccc3c2)cc1,630.0
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccnc2)cc1,1690.0
Cc1nc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cs1,940.0
CCc1ccc(-c2nc(C)oc2-c2ccc(S(C)(=O)=O)cc2)s1,140.0
Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)nc1,730.0
CCS(=O)(=O)c1ccc(-c2oc(C)nc2-c2ccc(F)cc2)cc1,38000.0
CS(=O)(=O)c1ccc(-n2cc(CO)nc2-c2cccnc2)cc1,934000.0
Cn1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c2ccccc21,1100.0
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccn2)cc1,1500.0
Cc1nc(-c2ccc(F)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,70.0
Cc1ccncc1-c1nc(C(F)(F)F)cn1-c1ccc(S(C)(=O)=O)cc1,54000.0
Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,80.0
